Project,Version,Suite,Test count,APFD,APFDf,TTFF,pTTFF,Misses,Hit,HitCount
Closure,92,Fastazi-P,258.0,0.75,0.750965250965251,65.0,0.2509652509652511,0,1,30
Closure,92,Random,259.0,0.44646074646074646,0.44646074646074646,143.86666666666667,0.5554697554697554,0,1,30
Closure,93,Ekstazi+random,259.0,0.3482625482625483,0.3482625482625483,169.3,0.6536679536679538,0,1,30
Closure,93,FAST-pw,258.0,0.4593023255813956,0.4613899613899615,140.0,0.5405405405405405,0,1,30
Closure,93,Fastazi-S,258.0,0.4593023255813956,0.4613899613899615,140.0,0.5405405405405405,0,1,30
Closure,93,Fastazi-P,258.0,0.4593023255813956,0.4613899613899615,140.0,0.5405405405405405,0,1,30
Closure,93,Random,259.0,0.4649935649935651,0.4649935649935651,139.06666666666666,0.5369369369369369,0,1,30
Closure,94,Ekstazi+random,259.0,0.6640926640926642,0.6640926640926642,87.5,0.3378378378378378,0,1,30
Closure,94,FAST-pw,258.0,0.23449612403100772,0.23745173745173734,198.0,0.7644787644787644,0,1,30
Closure,94,Fastazi-S,258.0,0.23449612403100772,0.23745173745173734,198.0,0.7644787644787644,0,1,30
Closure,94,Fastazi-P,258.0,0.23449612403100772,0.23745173745173734,198.0,0.7644787644787644,0,1,30
Closure,94,Random,259.0,0.6411840411840412,0.6411840411840412,93.43333333333334,0.3607464607464607,0,1,30
Closure,95,Ekstazi+random,259.0,0.5200772200772202,0.5200772200772202,124.8,0.481853281853282,0,1,30
Closure,95,FAST-pw,258.0,0.9011627906976748,0.9015444015444017,26.0,0.10038610038610032,0,1,30
Closure,95,Fastazi-S,258.0,0.9011627906976748,0.9015444015444017,26.0,0.10038610038610032,0,1,30
Closure,95,Fastazi-P,258.0,0.9011627906976748,0.9015444015444017,26.0,0.10038610038610032,0,1,30
Closure,95,Random,259.0,0.5360360360360361,0.5360360360360361,120.66666666666667,0.465894465894466,0,1,30
Closure,96,Ekstazi+random,259.0,0.687001287001287,0.687001287001287,81.56666666666666,0.314929214929215,0,1,30
Closure,96,FAST-pw,258.0,0.6802325581395352,0.6814671814671815,83.0,0.3204633204633202,0,1,30
Closure,96,Fastazi-S,258.0,0.6802325581395352,0.6814671814671815,83.0,0.3204633204633202,0,1,30
Closure,96,Fastazi-P,258.0,0.6802325581395352,0.6814671814671815,83.0,0.3204633204633202,0,1,30
Closure,96,Random,259.0,0.652895752895753,0.652895752895753,90.4,0.34903474903474907,0,1,30
Closure,97,Ekstazi+random,259.0,0.5365508365508366,0.5365508365508366,120.53333333333333,0.46537966537966546,0,1,30
Closure,97,FAST-pw,258.0,0.3934108527131782,0.39575289575289574,157.0,0.6061776061776064,0,1,30
Closure,97,Fastazi-S,258.0,0.3934108527131782,0.39575289575289574,157.0,0.6061776061776064,0,1,30
Closure,97,Fastazi-P,258.0,0.3934108527131782,0.39575289575289574,157.0,0.6061776061776064,0,1,30
Closure,97,Random,259.0,0.4983268983268982,0.4983268983268982,130.43333333333334,0.5036036036036037,0,1,30
Closure,98,Ekstazi+random,259.0,0.5436293436293436,0.5436293436293436,118.7,0.4583011583011583,0,1,30
Closure,98,FAST-pw,258.0,0.28100775193798455,0.283783783783784,186.0,0.7181467181467185,0,1,30
Closure,98,Fastazi-S,258.0,0.28100775193798455,0.283783783783784,186.0,0.7181467181467185,0,1,30
Closure,98,Fastazi-P,258.0,0.28100775193798455,0.283783783783784,186.0,0.7181467181467185,0,1,30
Closure,98,Random,259.0,0.4850707850707851,0.4850707850707851,133.86666666666667,0.5168597168597169,0,1,30
Closure,99,Ekstazi+random,259.0,0.4792792792792792,0.4792792792792792,135.36666666666667,0.5226512226512227,0,1,30
Closure,99,FAST-pw,258.0,0.22286821705426352,0.22586872586872594,201.0,0.7760617760617766,0,1,30
Closure,99,Fastazi-S,258.0,0.22286821705426352,0.22586872586872594,201.0,0.7760617760617766,0,1,30
Closure,99,Fastazi-P,258.0,0.22286821705426352,0.22586872586872594,201.0,0.7760617760617766,0,1,30
Closure,99,Random,259.0,0.5375804375804376,0.5375804375804376,120.26666666666667,0.4643500643500644,0,1,30
Closure,100,Ekstazi+random,259.0,0.6445302445302445,0.6445302445302445,92.56666666666666,0.35740025740025744,0,1,30
Closure,100,FAST-pw,258.0,0.7926356589147286,0.7934362934362936,54.0,0.2084942084942085,0,1,30
Closure,100,Fastazi-S,258.0,0.7926356589147286,0.7934362934362936,54.0,0.2084942084942085,0,1,30
Closure,100,Fastazi-P,258.0,0.7926356589147286,0.7934362934362936,54.0,0.2084942084942085,0,1,30
